date,sleep_duration_hours,bedtime,wake_time,deep_sleep_minutes,rem_sleep_minutes,light_sleep_minutes
8/1/2026,6.19,22:55,5:24,39,94,246
8/2/2026,5.51,23:22,5:27,52,82,217
8/3/2026,5.42,23:34,5:24,53,96,193
8/4/2026,5.54,23:44,5:59,36,97,220
8/5/2026,6.34,23:26,6:06,34,122,238
8/6/2026,6.11,22:37,5:01,53,78,240
8/7/2026,4.44,23:21,6:05,11,68,204
8/8/2026,6.53,23:13,6:11,59,95,259
8/9/2026,5.3,12:20,5:40,54,60,189
8/10/2026,5.46,12:20,6:15,58,68,219
8/11/2026,3.14,3:36,6:53,29,38,126
8/12/2026,6.9,22:59,5:17,57,83,229
8/13/2026,4.54,23:18,6:13,44,75,175
8/14/2026,6.44,23:26,6:14,57,83,264
8/15/2026,5.39,23:57,5:42,61,81,197
